model,item,llm_judge_score,response_length,human_score
gemma-2-9b,item_1,3,140,
gemma-2-9b,item_2,5,167,
gemma-2-9b,item_3,3,180,
gemma-2-9b,item_4,5,164,4.0
gemma-2-9b,item_5,3,157,
gemma-2-9b,item_6,3,172,
gemma-2-9b,item_7,4,164,
gemma-2-9b,item_8,3,149,
gemma-2-9b,item_9,4,50,
gemma-2-9b,item_10,4,138,
gemma-2-9b,item_11,3,146,
gemma-2-9b,item_12,5,160,
gemma-2-9b,item_13,5,192,
gemma-2-9b,item_14,3,177,
gemma-2-9b,item_15,3,167,
gemma-2-9b,item_16,3,121,
gemma-2-9b,item_17,4,131,3.0
gemma-2-9b,item_18,4,115,
gemma-2-9b,item_19,3,143,2.0
gemma-2-9b,item_20,3,115,2.0
gemma-2-9b,item_21,4,88,
gemma-2-9b,item_22,4,154,
gemma-2-9b,item_23,3,193,
gemma-2-9b,item_24,4,144,
gemma-2-9b,item_25,3,106,2.0
gemma-2-9b,item_26,3,143,
gemma-2-9b,item_27,3,146,
gemma-2-9b,item_28,4,113,
gemma-2-9b,item_29,3,98,
gemma-2-9b,item_30,4,139,
gemma-2-9b,item_31,4,150,
gemma-2-9b,item_32,4,130,
gemma-2-9b,item_33,4,146,
gemma-2-9b,item_34,2,119,
gemma-2-9b,item_35,4,182,2.0
gemma-2-9b,item_36,4,90,
gemma-2-9b,item_37,3,171,
gemma-2-9b,item_38,3,119,
gemma-2-9b,item_39,3,134,
gemma-2-9b,item_40,3,143,
gemma-2-9b,item_41,4,109,
gemma-2-9b,item_42,4,129,3.0
gemma-2-9b,item_43,4,76,4.0
gemma-2-9b,item_44,4,194,3.0
gemma-2-9b,item_45,4,164,
gemma-2-9b,item_46,5,158,3.0
gemma-2-9b,item_47,3,109,
gemma-2-9b,item_48,4,149,3.0
gemma-2-9b,item_49,3,171,
gemma-2-9b,item_50,3,168,
gemma-2-9b,item_51,3,158,3.0
gemma-2-9b,item_52,4,153,
gemma-2-9b,item_53,3,167,
gemma-2-9b,item_54,4,142,2.0
gemma-2-9b,item_55,4,138,
gemma-2-9b,item_56,3,131,
gemma-2-9b,item_57,4,148,3.0
gemma-2-9b,item_58,4,103,
gemma-2-9b,item_59,5,140,
gemma-2-9b,item_60,4,142,
gemma-2-9b,item_61,4,146,
gemma-2-9b,item_62,4,152,
gemma-2-9b,item_63,3,80,
gemma-2-9b,item_64,4,141,
gemma-2-9b,item_65,4,146,2.0
gemma-2-9b,item_66,4,141,
gemma-2-9b,item_67,4,132,
gemma-2-9b,item_68,4,122,
gemma-2-9b,item_69,4,112,
gemma-2-9b,item_70,3,124,
gemma-2-9b,item_71,5,137,
gemma-2-9b,item_72,3,165,
gemma-2-9b,item_73,4,128,
gemma-2-9b,item_74,3,135,
gemma-2-9b,item_75,3,177,2.0
