item_id,app_id,human_label,title,text,updated
appstore_835599320_14428819095,835599320,5,Suggestion,We should be able to make our own chat bubbles so people like who love Spider-Man and stuff can make there own to use and since we have call we should be able to FaceTime or there too and call with groups too,2026-08-14T17:52:41-07:00
appstore_835599320_14428810253,835599320,5,Great,I love TikTok it is a great way to express your feelings I also wish they would give me my Chinese spy back,2026-08-14T17:49:19-07:00
appstore_835599320_14428765041,835599320,4,Search bar recommendation,I honestly love TikTok. But just one thing I wanna say is I have like a lot of edits saved from video game characters or characters from movies or shows or even celebrities. My one account has over 100 collections and it sometimes gets hard finding them so just one thing I was wondering is that maybe we could get a search bar added so when you have a video or edit to save you can type in the collection name if it’s not already on top,2026-08-14T17:32:25-07:00
appstore_835599320_14428760384,835599320,1,terrible,i couldn’t open the app i kept trying and the app disappeared,2026-08-14T17:30:41-07:00
appstore_835599320_14428744196,835599320,3,only putting 5 stars so this is seen,"these past two - three weeks my tiktok has been crashing everytime I try to scroll. sometimes after i try again it crashes without even letting me see a video. just the tiktok logo then it crashes. sometimes i can get in the app by holding down the app on my Homescreen and selecting the notifications option but everytime i go to my for you page and try to scroll it crashes. the times when i successfully get into the app through the notification method, my display is out of dark mode and the text size isn't the same. i adjusted the text size to be larger in the settings because i cant see very well. my phone is an Iphone 15 plus and it runs iOS 26.5.2 so i don't know why it's having such an issue. I've tried everything to fix it. I've powered my phone off and back on, reser the tiktok app, cleared the cache,and offloaded the app and reinstalled if. ive seen other reviews having the same problem but nothing is being done. please take action and do something about this!!",2026-08-14T17:24:34-07:00
appstore_835599320_14428739444,835599320,5,BEAUTIFUL APP,i would rate 4.5 if i could cus the time limit thing is very laggy and when u download vids when u have no wifi it doesnt work well,2026-08-14T17:22:46-07:00
appstore_835599320_14428723654,835599320,4,My awesome review,Who needs snap and insta when you can now call people on TikTok? 🤣✌️,2026-08-14T17:16:43-07:00
appstore_835599320_14428700403,835599320,5,Larp,Larp,2026-08-14T17:08:04-07:00
appstore_835599320_14428686470,835599320,5,The most beautiful thing I have ever seen,I genuinely love this app,2026-08-14T17:02:47-07:00
appstore_835599320_14428646778,835599320,5,I love TikTok so much I get to have new friends and it’s so much fun. We get to try your thing,I gave it a 1000 out of 10 is the best thing you can get downloaded now,2026-08-14T16:47:20-07:00
