model,item,score
gemma-3n-e4b-it,Age_00002,0.0
gemma-3n-e4b-it,Age_00005,1.0
gemma-3n-e4b-it,Age_00007,1.0
gemma-3n-e4b-it,Age_00015,1.0
gemma-3n-e4b-it,Age_00020,1.0
gemma-3n-e4b-it,Age_00026,0.0
gemma-3n-e4b-it,Age_00031,1.0
gemma-3n-e4b-it,Age_00037,1.0
gemma-3n-e4b-it,Age_00048,0.0
gemma-3n-e4b-it,Age_00068,0.0
gemma-3n-e4b-it,Age_00071,0.0
gemma-3n-e4b-it,Age_00075,1.0
gemma-3n-e4b-it,Age_00083,0.0
gemma-3n-e4b-it,Age_00117,1.0
gemma-3n-e4b-it,Age_00130,0.0
gemma-3n-e4b-it,Age_00159,1.0
gemma-3n-e4b-it,Age_00163,0.0
gemma-3n-e4b-it,Age_00225,1.0
gemma-3n-e4b-it,Age_00243,1.0
gemma-3n-e4b-it,Age_00244,0.0
gemma-3n-e4b-it,Age_00250,0.0
gemma-3n-e4b-it,Age_00255,1.0
gemma-3n-e4b-it,Age_00262,0.0
gemma-3n-e4b-it,Age_00278,0.0
gemma-3n-e4b-it,Age_00281,1.0
gemma-3n-e4b-it,Age_00301,1.0
gemma-3n-e4b-it,Age_00316,0.0
gemma-3n-e4b-it,Age_00325,1.0
gemma-3n-e4b-it,Age_00333,1.0
gemma-3n-e4b-it,Age_00350,0.0
gemma-3n-e4b-it,Age_00363,1.0
gemma-3n-e4b-it,Age_00364,0.0
gemma-3n-e4b-it,Age_00365,1.0
gemma-3n-e4b-it,Age_00374,0.0
gemma-3n-e4b-it,Age_00376,0.0
gemma-3n-e4b-it,Age_00379,1.0
gemma-3n-e4b-it,Age_00387,1.0
gemma-3n-e4b-it,Age_00397,1.0
gemma-3n-e4b-it,Age_00411,1.0
gemma-3n-e4b-it,Age_00439,1.0
gemma-3n-e4b-it,Age_00451,1.0
gemma-3n-e4b-it,Age_00459,0.0
gemma-3n-e4b-it,Age_00461,1.0
gemma-3n-e4b-it,Age_00473,1.0
gemma-3n-e4b-it,Age_00497,1.0
gemma-3n-e4b-it,Age_00499,1.0
gemma-3n-e4b-it,Age_00506,0.0
gemma-3n-e4b-it,Age_00509,1.0
gemma-3n-e4b-it,Age_00513,1.0
gemma-3n-e4b-it,Age_00514,0.0
gemma-3n-e4b-it,Age_00520,1.0
gemma-3n-e4b-it,Age_00554,0.0
gemma-3n-e4b-it,Age_00559,1.0
gemma-3n-e4b-it,Age_00561,1.0
gemma-3n-e4b-it,Age_00574,0.0
gemma-3n-e4b-it,Age_00579,1.0
gemma-3n-e4b-it,Age_00584,1.0
gemma-3n-e4b-it,Age_00585,1.0
gemma-3n-e4b-it,Age_00591,1.0
gemma-3n-e4b-it,Age_00613,1.0
gemma-3n-e4b-it,Age_00619,1.0
gemma-3n-e4b-it,Age_00620,1.0
gemma-3n-e4b-it,Age_00624,1.0
gemma-3n-e4b-it,Age_00634,1.0
gemma-3n-e4b-it,Age_00656,1.0
gemma-3n-e4b-it,Age_00659,1.0
gemma-3n-e4b-it,Age_00662,0.0
gemma-3n-e4b-it,Age_00668,0.0
gemma-3n-e4b-it,Age_00677,1.0
gemma-3n-e4b-it,Age_00678,0.0
gemma-3n-e4b-it,Age_00698,0.0
gemma-3n-e4b-it,Age_00700,0.0
gemma-3n-e4b-it,Age_00708,1.0
gemma-3n-e4b-it,Age_00710,0.0
gemma-3n-e4b-it,Age_00726,1.0
gemma-3n-e4b-it,Age_00740,1.0
gemma-3n-e4b-it,Age_00752,1.0
gemma-3n-e4b-it,Age_00766,1.0
gemma-3n-e4b-it,Age_00768,1.0
gemma-3n-e4b-it,Age_00788,1.0
gemma-3n-e4b-it,Age_00793,1.0
gemma-3n-e4b-it,Age_00806,1.0
gemma-3n-e4b-it,Age_00807,1.0
gemma-3n-e4b-it,Age_00819,1.0
gemma-3n-e4b-it,Age_00832,1.0
gemma-3n-e4b-it,Age_00844,1.0
gemma-3n-e4b-it,Age_00860,1.0
gemma-3n-e4b-it,Age_00868,1.0
gemma-3n-e4b-it,Age_00883,1.0
gemma-3n-e4b-it,Age_00888,1.0
gemma-3n-e4b-it,Age_00911,1.0
gemma-3n-e4b-it,Age_00913,1.0
gemma-3n-e4b-it,Age_00937,1.0
gemma-3n-e4b-it,Age_00951,1.0
gemma-3n-e4b-it,Age_00970,1.0
gemma-3n-e4b-it,Age_00986,0.0
gemma-3n-e4b-it,Age_00988,0.0
gemma-3n-e4b-it,Age_00994,0.0
gemma-3n-e4b-it,Age_00997,1.0
gemma-3n-e4b-it,Age_00999,1.0
granite-4.1-8b,Age_00002,0.0
granite-4.1-8b,Age_00005,1.0
granite-4.1-8b,Age_00007,1.0
granite-4.1-8b,Age_00015,1.0
granite-4.1-8b,Age_00020,0.0
granite-4.1-8b,Age_00026,0.0
granite-4.1-8b,Age_00031,1.0
granite-4.1-8b,Age_00037,1.0
granite-4.1-8b,Age_00048,0.0
granite-4.1-8b,Age_00068,0.0
granite-4.1-8b,Age_00071,0.0
granite-4.1-8b,Age_00075,1.0
granite-4.1-8b,Age_00083,1.0
granite-4.1-8b,Age_00117,1.0
granite-4.1-8b,Age_00130,1.0
granite-4.1-8b,Age_00159,0.0
granite-4.1-8b,Age_00163,1.0
granite-4.1-8b,Age_00225,1.0
granite-4.1-8b,Age_00243,1.0
granite-4.1-8b,Age_00244,1.0
granite-4.1-8b,Age_00250,0.0
granite-4.1-8b,Age_00255,1.0
granite-4.1-8b,Age_00262,0.0
granite-4.1-8b,Age_00278,0.0
granite-4.1-8b,Age_00281,1.0
granite-4.1-8b,Age_00301,1.0
granite-4.1-8b,Age_00316,0.0
granite-4.1-8b,Age_00325,1.0
granite-4.1-8b,Age_00333,1.0
granite-4.1-8b,Age_00350,0.0
granite-4.1-8b,Age_00363,1.0
granite-4.1-8b,Age_00364,0.0
granite-4.1-8b,Age_00365,1.0
granite-4.1-8b,Age_00374,0.0
granite-4.1-8b,Age_00376,0.0
granite-4.1-8b,Age_00379,1.0
granite-4.1-8b,Age_00387,1.0
granite-4.1-8b,Age_00397,1.0
granite-4.1-8b,Age_00411,1.0
granite-4.1-8b,Age_00439,1.0
granite-4.1-8b,Age_00451,1.0
granite-4.1-8b,Age_00459,1.0
granite-4.1-8b,Age_00461,1.0
granite-4.1-8b,Age_00473,1.0
granite-4.1-8b,Age_00497,1.0
granite-4.1-8b,Age_00499,1.0
granite-4.1-8b,Age_00506,1.0
granite-4.1-8b,Age_00509,1.0
granite-4.1-8b,Age_00513,1.0
granite-4.1-8b,Age_00514,1.0
granite-4.1-8b,Age_00520,1.0
granite-4.1-8b,Age_00554,0.0
granite-4.1-8b,Age_00559,1.0
granite-4.1-8b,Age_00561,1.0
granite-4.1-8b,Age_00574,0.0
granite-4.1-8b,Age_00579,1.0
granite-4.1-8b,Age_00584,1.0
granite-4.1-8b,Age_00585,1.0
granite-4.1-8b,Age_00591,1.0
granite-4.1-8b,Age_00613,1.0
granite-4.1-8b,Age_00619,1.0
granite-4.1-8b,Age_00620,1.0
granite-4.1-8b,Age_00624,1.0
granite-4.1-8b,Age_00634,1.0
granite-4.1-8b,Age_00656,1.0
granite-4.1-8b,Age_00659,1.0
granite-4.1-8b,Age_00662,0.0
granite-4.1-8b,Age_00668,0.0
granite-4.1-8b,Age_00677,1.0
granite-4.1-8b,Age_00678,0.0
granite-4.1-8b,Age_00698,0.0
granite-4.1-8b,Age_00700,0.0
granite-4.1-8b,Age_00708,1.0
granite-4.1-8b,Age_00710,0.0
granite-4.1-8b,Age_00726,0.0
granite-4.1-8b,Age_00740,1.0
granite-4.1-8b,Age_00752,1.0
granite-4.1-8b,Age_00766,1.0
granite-4.1-8b,Age_00768,1.0
granite-4.1-8b,Age_00788,1.0
granite-4.1-8b,Age_00793,1.0
granite-4.1-8b,Age_00806,0.0
granite-4.1-8b,Age_00807,1.0
granite-4.1-8b,Age_00819,1.0
granite-4.1-8b,Age_00832,0.0
